#ID#age#job#marital#education#default#balance#housing#loan#contact#day#month#campaign#pdays#previous#poutcome#y
0#41360#55,0#management#married#tertiary#no#2960,0#yes#no#cellular#31#aug#1.0#98,0#11#other#no
18#21467#37,0#technician#single#tertiary#no#453,0#no#no#cellular#18#aug#4.0#-1,0#0#unknown#no
19#25323#35,0#blue-collar#married#secondary#no#1055,0#no#no#unknown#18#nov#2.0#-1,0#0#unknown#yes
20#40855#32,0#management#single#tertiary#no#3283,0#no#no#cellular#12#aug#2.0#191,0#2#success#yes
21#6269#54,0#admin.#divorced#secondary#no#-288,0#yes#no#unknown#27#may#2.0#-1,0#0#unknown#no
22#44688#52,0#management#married#unknown#no#1708,0#no#no#unknown#6#sep#1.0#75,0#4#failure#yes
23#42779##management#single#tertiary#no#7560,0#no#no#cellular#28#jan#1.0#-1,0#0#unknown#yes
24#3726#44,0#housemaid#married#primary#yes#-972,0#yes#yes#unknown#16#may#2.0#-1,0#0#unknown#no
25#23236#36,0#technician#married#secondary#no#30,0#no#no#cellular#27#aug#2.0#-1,0#0#unknown#no
26#17632#42,0#technician#single#unknown#no#2193,0#no#no#cellular#29#jul#2.0#-1,0#0#unknown#no
27#40925#53,0#services#married#unknown#no#442,0#yes#no#cellular#12#aug#1.0#36,0#2#other#no
28#20196#46,0#technician#divorced#secondary#yes#-11,0#no#no#cellular#11#aug#2.0#-1,0#0#unknown#no
29#37773#38,0#blue-collar#married#primary#no#132,0#yes#no#cellular#14#may#2.0#-1,0#0#unknown#no
30#33326#42,0#entrepreneur#single#secondary#no#1049,0#yes#yes#cellular#20#apr#1.0#-1,0#0#unknown#no
31#36644#38,0#blue-collar#married#primary#no#4592,0#yes#no#cellular#12#may#1.0#-1,0#0#unknown#no
32#17535#59,0#management#married#secondary#no#-1246,0#no#no#telephone#29#jul#2.0#-1,0#0#unknown#no
33#30955#36,0#unemployed#single#secondary#no#115,0#no#no#cellular#9#feb#2.0#-1,0#0#unknown#no
34#179#54,0#services#married#secondary#no#214,0#yes#no#unknown#5#may#2.0#-1,0#0#unknown#no
35#37628#28,0#student#single#tertiary#no#170,0#no#no#telephone#14#may#5.0#-1,0#0#unknown#no
36#332#42,0#blue-collar#married#unknown#no#57,0#yes#no#unknown#5#may#2.0#-1,0#0#unknown#no
37#9381#26,0#technician#single#secondary#no#639,0#yes#no#unknown#6#jun#5.0#-1,0#0#unknown#yes
38#40954#52,0#technician#married#tertiary#no#1785,0#no#no#cellular#13#aug#1.0#-1,0#0#unknown#no
39#27636#41,0#management#married#tertiary#no#4063,0#yes#no#cellular#21#nov#2.0#-1,0#0#unknown#no
40#17146####secondary#no###yes#cellular#28#jul###0#unknown#no
41#19684#36,0#technician#single#secondary#no#651,0#no#no#cellular#7#aug#1.0#-1,0#0#unknown#yes
42#1691#32,0#blue-collar#divorced#secondary#no#739,0#yes#no#unknown#9#may#1.0#-1,0#0#unknown#no
43#43973#25,0#student#single#secondary#no#1957,0#no#no#cellular#24#jun#4.0#385,0#1#failure#yes
44#19501#36,0#management#single#tertiary#no#5340,0#yes#no#cellular#7#aug#4.0#-1,0#0#unknown#no
45#43250#31,0#management#single#tertiary#no#147,0#no#no#cellular#9#mar#1.0#181,0#2#success#yes
46#40096#24,0#unemployed#single#secondary#no#572,0#no#no#cellular#4#jun#3.0#-1,0#0#unknown#no
47#28905#26,0#services#single#secondary#no#110,0#no#no#cellular#30#jan#2.0#-1,0#0#unknown#yes
48#43852##management#single#tertiary#no#515,0#no#no#cellular#1#jun#5.0#-1,0#0#unknown#yes
49#27948#32,0#blue-collar#single#secondary#no#2746,0#no#no#cellular#28#jan#1.0#-1,0#0#unknown#no
50#15058#31,0#technician#single#unknown#no#187,0#no#no#cellular#17#jul#1.0#-1,0#0#unknown#no
51#15660##retired#divorced#tertiary#no#158,0#no#yes#cellular#21#jul#1.0#-1,0#0#unknown#yes
52#17996#58,0#management#married#secondary#no#2739,0#yes#no#cellular#30#jul#6.0#-1,0#0#unknown#no
53#35436#40,0#unemployed#divorced#secondary#no#193,0#yes#no#cellular#7#may#1.0#357,0#1#failure#no
54#1759#33,0#technician#divorced#secondary#yes#-305,0#no#yes#unknown#9#may#1.0#-1,0#0#unknown#no
55#33813#36,0#admin.#married#secondary#no#0,0#yes#no#cellular#24#apr#2.0#-1,0#0#unknown#no
56#30583##entrepreneur#divorced#tertiary#no#1145,0#yes#yes#cellular#6#feb#4.0#-1,0#0#unknown#no
57#7734#24,0#technician#single#secondary#no#278,0#yes#no#unknown#30#may#1.0#-1,0#0#unknown#no
58#11789#36,0#management#married#tertiary#no#1355,0#yes#no#unknown#20#jun#8.0#-1,0#0#unknown#no
59#23227#31,0#management#single#secondary#no#36,0#no#no#cellular#27#aug#2.0#-1,0#0#unknown#no
60#30505#38,0#housemaid#married#secondary#no#333,0#yes#no#cellular#5#feb#2.0#202,0#1#other#no
61#44375##technician#married#unknown#no#240,0#yes#no#cellular#2#aug#3.0#277,0#1#success#yes
62#34293#35,0#services#married#secondary#no#17,0#yes#no#cellular#4#may#4.0#-1,0#0#unknown#no
63#25576#49,0#technician#divorced#secondary#no#342,0#no#yes#cellular#19#nov#3.0#-1,0#0#unknown#no
64#38361#58,0#blue-collar#married#primary#no#781,0#yes#no#cellular#15#may#2.0#-1,0#0#unknown#no
65#8554#39,0#blue-collar#married#secondary#no#203,0#yes#no#unknown#3#jun#1.0#-1,0#0#unknown#no
66#12248#36,0#unemployed#married#tertiary#no#4145,0#no#no#unknown#20#jun#4.0#-1,0#0#unknown#yes
67#37387#33,0#entrepreneur#single#tertiary#no#1481,0#yes#no#cellular#13#may#3.0#173,0#1#other#no
68#31294##management#married#tertiary#no#2351,0#no#no#cellular#10#mar#1.0#-1,0#0#unknown#yes
69#10859##technician#divorced#secondary#no#431,0#no#yes#unknown#17#jun#9.0#-1,0#0#unknown#no
70#1941#46,0#blue-collar#married#primary#no#881,0#yes#no#unknown#9#may#2.0#-1,0#0#unknown#no
71#6342#51,0#technician#married#secondary#no#-1042,0#yes#no#unknown#27#may#2.0#-1,0#0#unknown#no
72#9768#37,0#admin.#married#secondary#yes#0,0#no#no#unknown#9#jun#1.0#-1,0#0#unknown#no
73#21640##management#married#tertiary#no#3228,0#no#no#cellular#19#aug#2.0#-1,0#0#unknown#no
74#8911#26,0#blue-collar#single#primary#no#3342,0#yes#no#unknown#4#jun#4.0#-1,0#0#unknown#no
75#32469#35,0#blue-collar#married#secondary#no#126,0#yes#no#cellular#16#apr#1.0#-1,0#0#unknown#no
76#356##admin.#single#secondary#no#12,0#yes#no#unknown#5#may#2.0#-1,0#0#unknown#no
77#16948#33,0#management#married#primary#no#91,0#no#yes#cellular#25#jul#3.0#-1,0#0#unknown#no
78#23217#47,0#admin.#married#secondary#no#1647,0#no#no#cellular#27#aug#13.0#-1,0#0#unknown#no
79#71#57,0#blue-collar#married#secondary#no#5935,0#yes#yes#unknown#5#may#1.0#-1,0#0#unknown#no
80#26249#39,0#blue-collar#married#secondary#no#660,0#yes#yes#cellular#20#nov#1.0#185,0#2#failure#no
81#7127#39,0#technician#divorced#secondary#no#394,0#yes#no#unknown#29#may#1.0#-1,0#0#unknown#no
82#16203#35,0#management#single#secondary#no#1031,0#yes#no#cellular#22#jul#1.0#-1,0#0#unknown#no
83#29137#26,0#management#single#tertiary#no#0,0#no#yes#cellular#2#feb#1.0#199,0#1#failure#no
84#35011#49,0#services#married#primary#no#0,0#yes#no#cellular#6#may#2.0#166,0#3#failure#yes
85#25436#34,0#entrepreneur#married#secondary#no#1368,0#yes#no#cellular#18#nov#2.0#-1,0#0#unknown#no
86#10546#51,0#admin.#married#secondary#no#924,0#yes#no#unknown#16#jun#3.0#-1,0#0#unknown#no
87#4061#26,0#technician#divorced#secondary#no#379,0#yes#yes#unknown#19#may#3.0#-1,0#0#unknown#no
88#3864##blue-collar#divorced#unknown#no#532,0#no#no#unknown#16#may#2.0#-1,0#0#unknown#no
89#13773#38,0#technician#married#secondary#no#-475,0#yes#no#cellular#10#jul#1.0#-1,0#0#unknown#no
90#30115#42,0#technician#single#tertiary#no#3908,0#yes#no#telephone#4#feb#5.0#-1,0#0#unknown#no
91#11##admin.#divorced#secondary#no#270,0#yes#no#unknown#5#may#1.0#-1,0#0#unknown#no
92#9411#53,0#retired#married#primary#no#2010,0#no#yes#unknown#6#jun#1.0#-1,0#0#unknown#no
93#42097#57,0#management#married#tertiary#no#1832,0#yes#no#cellular#2#nov#2.0#-1,0#0#unknown#no
94#41763#31,0#admin.#married#tertiary#no#80,0#yes#yes#cellular#13#oct#1.0#-1,0#0#unknown#no
95#33120##admin.#married#secondary#no#-314,0#yes#yes#cellular#20#apr#3.0#307,0#3#other#no
96#15027#36,0#management#married#tertiary#no#-633,0#yes#no#cellular#17#jul#1.0#-1,0#0#unknown#no
97#23237##admin.#married#secondary#no#35,0#no#no#cellular#27#aug#4.0#-1,0#0#unknown#no
98#33563#33,0#services#divorced#secondary#no#2358,0#yes#no#cellular#20#apr#3.0#-1,0#0#unknown#no
99#27932#40,0#technician#married#secondary#no#529,0#no#yes#cellular#28#jan#1.0#-1,0#0#unknown#no
100#28251#34,0#management#married#tertiary#no#303,0#yes#no#cellular#29#jan#1.0#195,0#2#failure#no
101#9796#58,0#retired#married#secondary#no#630,0#no#no#unknown#9#jun#2.0#-1,0#0#unknown#no
102#9770##blue-collar#single#primary#no#397,0#no#no#unknown#9#jun#1.0#-1,0#0#unknown#no
103#17545#44,0#management#single#primary#no#4,0#no#no#cellular#29#jul#3.0#-1,0#0#unknown#no
104#42512#28,0#blue-collar#single#secondary#no#1705,0#no#no#cellular#17#dec#2.0#-1,0#0#unknown#yes
105#43420#50,0#unemployed#married#tertiary#no#377,0#no#no#cellular#6#apr#1.0#319,0#3#failure#no
106#33372#35,0#admin.#single#secondary#no#424,0#yes#no#cellular#20#apr#4.0#-1,0#0#unknown#no
107#33073#21,0#blue-collar#single#secondary#no#1385,0#yes#no#cellular#20#apr#5.0#-1,0#0#unknown#no
108#24165#26,0#management#married#tertiary#no#52,0#no#yes#telephone#12#nov#1.0#-1,0#0#unknown#no
109#103##blue-collar#married#primary#no#128,0#yes#no#unknown#5#may#1.0#-1,0#0#unknown#no
110#27464#32,0#self-employed#married#tertiary#no#14522,0#no#no#cellular#21#nov#7.0#-1,0#0#unknown#no
111#37740##management#divorced#tertiary#no#541,0#yes#no#cellular#14#may#1.0#363,0#2#other#no
112#33893#27,0#management#single#tertiary#no#828,0#no#no#cellular#30#apr#1.0#-1,0#0#unknown#no
113#20418##admin.#married#secondary#no#1535,0#no#no#cellular#12#aug#2.0#-1,0#0#unknown#no
114#24163#22,0#technician#single#secondary#no#333,0#no#yes#telephone#12#nov#1.0#-1,0#0#unknown#no
115#24234#50,0#management#married#tertiary#no#4278,0#no#no#cellular#17#nov#1.0#-1,0#0#unknown#no
116#63#57,0#blue-collar#married#primary#no#249,0#yes#no#unknown#5#may#1.0#-1,0#0#unknown#no
117#16039#55,0#technician#married#tertiary#no#255,0#no#no#cellular#22#jul#1.0#-1,0#0#unknown#no
118#27603#37,0#management#single#tertiary#no#22125,0#no#yes#cellular#21#nov#2.0#-1,0#0#unknown#yes
119#37379#55,0#management#married#primary#no#1691,0#yes#no#cellular#13#may#2.0#174,0#1#failure#no
120#16085#26,0#student#single#secondary#no#141,0#no#no#cellular#22#jul#1.0#-1,0#0#unknown#no
121#18516##blue-collar#married#primary#no#0,0#no#no#cellular#31#jul#4.0#-1,0#0#unknown#no
122#25858#53,0#management#married#tertiary#no#7249,0#yes#yes#cellular#19#nov#1.0#-1,0#0#unknown#no
123#26588#30,0#services#married#secondary#no#10667,0#no#no#cellular#20#nov#1.0#-1,0#0#unknown#no
124#32448#66,0#retired#married#tertiary#no#525,0#no#no#telephone#16#apr#1.0#-1,0#0#unknown#no
125#17808#35,0#management#married#tertiary#no#0,0#yes#no#telephone#29#jul#12.0#-1,0#0#unknown#no
126#41443#51,0#housemaid#married#primary#no#339,0#no#no#cellular#4#sep#1.0#-1,0#0#unknown#no
127#43397#46,0#management#married#unknown#no#2466,0#no#no#telephone#1#apr#3.0#370,0#1#failure#yes
128#10528#41,0#management#single#unknown#no#1604,0#no#no#unknown#16#jun#2.0#-1,0#0#unknown#no
129#32662#53,0#services#married#secondary#no#197,0#yes#no#cellular#17#apr#1.0#-1,0#0#unknown#no
130#40737#18,0#student#single#primary#no#1944,0#no#no#telephone#10#aug#3.0#-1,0#0#unknown#no
131#27205#35,0#entrepreneur#married#secondary#no#2971,0#no#no#cellular#21#nov#2.0#-1,0#0#unknown#no
132#28468#28,0#technician#single#secondary#no#250,0#no#yes#cellular#29#jan#1.0#-1,0#0#unknown#no
133#42256#39,0#student#single#unknown#no#64,0#no#no#cellular#12#nov#2.0#98,0#1#failure#no
134#38338##blue-collar#married#secondary#no#83,0#yes#no#cellular#15#may#1.0#-1,0#0#unknown#no
135#26137#41,0#technician#single#tertiary#no#0,0#yes#no#cellular#19#nov#6.0#-1,0#0#unknown#no
136#37025##blue-collar#married#secondary#no#944,0#no#no#cellular#13#may#2.0#362,0#1#other#no
137#5126#31,0#management#married#tertiary#no#4924,0#yes#no#unknown#21#may#2.0#-1,0#0#unknown#no
138#34459#40,0#management#married#tertiary#no#710,0#yes#no#cellular#5#may#1.0#298,0#2#failure#no
139#28108#55,0#unemployed#married#secondary#no#1161,0#yes#no#cellular#28#jan#2.0#-1,0#0#unknown#no
140#6691#33,0#blue-collar#single#secondary#no#855,0#no#no#unknown#28#may#5.0#-1,0#0#unknown#no
141#3618#32,0#admin.#single#secondary#no#289,0#no#no#unknown#15#may#12.0#-1,0#0#unknown#no
142#20916#44,0#management#divorced#tertiary#no#3321,0#no#no#cellular#13#aug#3.0#-1,0#0#unknown#no
143#35125#31,0#management#married#tertiary#no#-692,0#yes#yes#cellular#6#may#2.0#-1,0#0#unknown#no
144#33058#59,0#management#married#tertiary#no#82,0#yes#no#cellular#17#apr#4.0#-1,0#0#unknown#no
145#36830##blue-collar#married#secondary#no#802,0#yes#yes#cellular#12#may#2.0#-1,0#0#unknown#yes
146#7669#42,0#unemployed#divorced#secondary#no#1713,0#yes#no#unknown#30#may#2.0#-1,0#0#unknown#yes
147#42573#44,0#management#married#unknown#no#2724,0#no#no#cellular#28#dec#1.0#-1,0#0#unknown#yes
148#13232#28,0#management#single#tertiary#no#882,0#no#yes#cellular#8#jul#2.0#-1,0#0#unknown#no
149#6718#28,0#services#single#secondary#no#40,0#yes#no#unknown#28#may#2.0#-1,0#0#unknown#no
150#32416#36,0#technician#married#primary#no#3350,0#yes#no#cellular#16#apr#1.0#269,0#3#other#no
151#14604#53,0#retired#married#secondary#no#1278,0#yes#no#telephone#15#jul#3.0#-1,0#0#unknown#no
152#35093#38,0#management#single#tertiary#no#427,0#yes#no#cellular#6#may#3.0#169,0#2#failure#no
153#17773#34,0#blue-collar#single#primary#no#326,0#yes#no#cellular#29#jul#2.0#-1,0#0#unknown#no
154#30576#33,0#admin.#divorced#secondary#no#420,0#yes#no#telephone#6#feb#2.0#-1,0#0#unknown#no
155#34956#29,0#technician#single#tertiary#no#183,0#yes#yes#cellular#6#may#1.0#343,0#2#failure#no
156#8465#35,0#blue-collar#married#secondary#no#412,0#yes#no#unknown#3#jun#1.0#-1,0#0#unknown#no
157#1311#36,0#blue-collar#married#primary#no#250,0#yes#no#unknown#8#may#1.0#-1,0#0#unknown#no
158#6115#36,0#services#single#secondary#no#203,0#yes#no#unknown#27#may#5.0#-1,0#0#unknown#no
159#30643##retired#married#primary#no#3000,0#no#yes#cellular#6#feb#1.0#-1,0#0#unknown#no
160#42115#35,0#technician#married#secondary#no#580,0#yes#no#cellular#2#nov#2.0#171,0#1#failure#no
161#24800#47,0#unemployed#single#secondary#no#4819,0#no#no#cellular#18#nov#1.0#-1,0#0#unknown#no
162#27109#51,0#blue-collar#married#secondary#no#8486,0#yes#yes#cellular#21#nov#10.0#-1,0#0#unknown#no
163#8875#44,0#blue-collar#married#secondary#no#406,0#yes#no#unknown#4#jun#1.0#-1,0#0#unknown#no
164#24111#36,0#entrepreneur#married#tertiary#no#6,0#no#no#telephone#30#oct#1.0#-1,0#0#unknown#no
165#8089#30,0#blue-collar#married#primary#no#4,0#yes#no#unknown#2#jun#1.0#-1,0#0#unknown#no
166#20356#47,0#retired#married#secondary#no#-71,0#yes#no#cellular#11#aug#5.0#-1,0#0#unknown#no
167#14282##management#divorced#tertiary#no#481,0#yes#no#telephone#14#jul#3.0#-1,0#0#unknown#no
168#5233#32,0#technician#married#secondary#no#587,0#yes#no#unknown#23#may#1.0#-1,0#0#unknown#no
169#8383#33,0#services#married#secondary#no#34,0#yes#yes#unknown#3#jun#1.0#-1,0#0#unknown#no
170#32868#30,0#blue-collar#married#secondary#no#658,0#yes#no#cellular#17#apr#3.0#267,0#1#failure#no
171#18551#53,0#blue-collar#married#secondary#no#0,0#no#no#telephone#31#jul#4.0#-1,0#0#unknown#no
172#18649#44,0#blue-collar#divorced#secondary#no#3258,0#no#no#cellular#31#jul#6.0#-1,0#0#unknown#no
173#21633#31,0#management#single#tertiary#no#0,0#no#no#cellular#19#aug#4.0#-1,0#0#unknown#no
174#19254#60,0#retired#married#secondary#no#1145,0#no#no#cellular#6#aug#2.0#-1,0#0#unknown#no
175#6147##services#married#secondary#no#-24,0#yes#no#unknown#27#may#1.0#-1,0#0#unknown#no
176#37140#35,0#blue-collar#married#secondary#no#323,0#yes#no#cellular#13#may#1.0#-1,0#0#unknown#no
177#26674#33,0#blue-collar#single#unknown#no#129,0#yes#yes#cellular#20#nov#1.0#-1,0#0#unknown#no
178#35775#33,0#blue-collar#single#secondary#no#1925,0#yes#no#cellular#8#may#2.0#67,0#2#failure#no
179#34632#33,0#technician#divorced#secondary#no#1480,0#yes#no#cellular#5#may#1.0#-1,0#0#unknown#no
180#41341#39,0#blue-collar#single#primary#no#24277,0#no#no#cellular#28#aug#1.0#-1,0#0#unknown#yes
181#38845#22,0#services#single#secondary#no#344,0#yes#no#cellular#18#may#1.0#-1,0#0#unknown#yes
182#14274#40,0#services#married#secondary#no#900,0#yes#yes#cellular#14#jul#2.0#-1,0#0#unknown#no
183#11674#28,0#blue-collar#married#primary#no#103,0#yes#no#unknown#20#jun#28.0#-1,0#0#unknown#no
184#33423#34,0#management#married#tertiary#no#606,0#no#no#cellular#20#apr#1.0#-1,0#0#unknown#yes
185#33651##blue-collar#married#secondary#no#1384,0#yes#no#cellular#20#apr#4.0#340,0#4#success#no
186#41329#34,0#technician#single#tertiary#no#612,0#no#no#cellular#28#aug#1.0#95,0#1#failure#no
187#35713#35,0#blue-collar#married#secondary#no#156,0#yes#no#cellular#8#may#1.0#283,0#3#failure#no
188#6003#46,0#management#divorced#tertiary#no#25,0#no#no#unknown#26#may#2.0#-1,0#0#unknown#no
189#12956#30,0#technician#married#tertiary#no#101,0#yes#yes#cellular#7#jul#3.0#-1,0#0#unknown#no
190#8765#28,0#admin.#single#tertiary#no#4,0#no#no#unknown#4#jun#11.0#-1,0#0#unknown#no
191#35301#31,0#technician#single#secondary#no#77,0#yes#no#cellular#7#may#1.0#-1,0#0#unknown#no
192#5802##blue-collar#married#secondary#no#-110,0#yes#no#unknown#26#may#1.0#-1,0#0#unknown#no
193#5812#28,0#technician#married#secondary#no#930,0#yes#yes#unknown#26#may#1.0#-1,0#0#unknown#no
194#3253#49,0#admin.#married#secondary#no#1530,0#yes#no#unknown#15#may#1.0#-1,0#0#unknown#no
195#2392##admin.#married#secondary#no#-423,0#yes#yes#unknown#13#may#1.0#-1,0#0#unknown#no
196#23943##technician#married#secondary#no#4800,0#yes#no#cellular#29#aug#4.0#-1,0#0#unknown#no
197#5056#30,0#technician#single#tertiary#no#1289,0#yes#no#unknown#21#may#2.0#-1,0#0#unknown#yes
198#33454#35,0#technician#married#tertiary#no#703,0#no#no#cellular#20#apr#1.0#-1,0#0#unknown#no
199#32918#37,0#blue-collar#divorced#secondary#no#752,0#yes#no#cellular#17#apr#3.0#-1,0#0#unknown#no
200#39841#47,0#management#married#tertiary#no#2351,0#no#no#cellular#2#jun#2.0#84,0#1#success#yes
201#23276##technician#single#tertiary#no#-552,0#yes#no#cellular#27#aug#12.0#-1,0#0#unknown#no
202#38345#35,0#admin.#single#tertiary#no#1374,0#yes#no#cellular#15#may#1.0#-1,0#0#unknown#no
203#19930##retired#married#tertiary#no#815,0#no#no#cellular#8#aug#2.0#-1,0#0#unknown#no
204#7106#31,0#services#married#secondary#no#3181,0#yes#no#unknown#29#may#7.0#-1,0#0#unknown#no
205#19908####primary#no###no#cellular#8#aug###0#unknown#no
206#43553#26,0#unemployed#single#tertiary#no#77,0#no#no#cellular#26#apr#1.0#-1,0#0#unknown#yes
207#21809#51,0#technician#married#secondary#no#180,0#yes#no#cellular#20#aug#2.0#-1,0#0#unknown#no
208#11362##blue-collar#married#primary#no#10662,0#no#no#unknown#19#jun#1.0#-1,0#0#unknown#no
209#11687#57,0#entrepreneur#married#tertiary#no#0,0#yes#yes#unknown#20#jun#2.0#-1,0#0#unknown#no
210#24392#48,0#blue-collar#married#secondary#no#1039,0#yes#no#cellular#17#nov#1.0#-1,0#0#unknown#no
211#29245##services#divorced#secondary#no#840,0#yes#no#cellular#2#feb#1.0#-1,0#0#unknown#yes
212#15139#35,0#management#single#secondary#no#138,0#yes#yes#cellular#17#jul#1.0#-1,0#0#unknown#no
213#2743#57,0#services#single#secondary#no#2236,0#yes#no#unknown#14#may#2.0#-1,0#0#unknown#no
214#20308#53,0#management#divorced#secondary#no#112,0#no#yes#cellular#11#aug#3.0#-1,0#0#unknown#no
215#37741#46,0#blue-collar#married#secondary#no#431,0#yes#no#cellular#14#may#4.0#367,0#1#failure#no
216#25856##management#divorced#tertiary#no#26306,0#yes#no#cellular#19#nov#3.0#-1,0#0#unknown#no
217#15899#51,0#services#single#secondary#no#510,0#no#no#telephone#22#jul#4.0#-1,0#0#unknown#no
218#24631#40,0#management#married#tertiary#no#486,0#yes#yes#cellular#17#nov#2.0#-1,0#0#unknown#no
219#40166#35,0#management#married#tertiary#no#697,0#no#no#cellular#5#jun#2.0#304,0#1#failure#no
220#22046#40,0#technician#single#secondary#no#34,0#no#no#cellular#20#aug#3.0#-1,0#0#unknown#no
221#7722#44,0#admin.#married#secondary#no#734,0#yes#no#unknown#30#may#5.0#-1,0#0#unknown#no
222#24431#37,0#technician#married#secondary#no#344,0#yes#yes#cellular#17#nov#1.0#-1,0#0#unknown#no
223#43255#34,0#management#married#tertiary#no#158,0#no#no#cellular#9#mar#3.0#181,0#6#success#yes
224#14112#33,0#self-employed#married#tertiary#no#1249,0#yes#no#cellular#11#jul#2.0#-1,0#0#unknown#no
225#36912#43,0#blue-collar#married#unknown#no#245,0#yes#yes#cellular#12#may#4.0#369,0#2#other#no
226#13813#35,0#admin.#married#secondary#no#-428,0#yes#yes#cellular#10#jul#1.0#-1,0#0#unknown#no
227#8343#52,0#technician#married#secondary#no#930,0#yes#no#unknown#2#jun#16.0#-1,0#0#unknown#no
228#2175#35,0#management#single#tertiary#no#244,0#yes#no#unknown#12#may#1.0#-1,0#0#unknown#no
229#11051#35,0#blue-collar#married#secondary#no#331,0#yes#no#unknown#17#jun#3.0#-1,0#0#unknown#no
230#15794#59,0#management#married#secondary#no#966,0#no#no#telephone#21#jul#4.0#-1,0#0#unknown#no
231#7153#34,0#technician#divorced#tertiary#no#1242,0#yes#no#unknown#29#may#3.0#-1,0#0#unknown#no
232#13679##entrepreneur#married#unknown#no#73,0#yes#no#cellular#9#jul#1.0#-1,0#0#unknown#no
233#790#59,0#retired#married#secondary#no#836,0#yes#no#unknown#7#may#1.0#-1,0#0#unknown#no
234#44822#67,0#retired#married#secondary#no#2048,0#no#no#cellular#16#sep#5.0#195,0#4#other#yes
235#36179#48,0#services#divorced#secondary#no#457,0#yes#no#cellular#11#may#1.0#326,0#5#other#no
236#3894#41,0#management#divorced#tertiary#no#647,0#yes#no#unknown#16#may#1.0#-1,0#0#unknown#no
237#39125#31,0#services#single#unknown#no#919,0#yes#no#cellular#18#may#2.0#-1,0#0#unknown#no
238#24942#34,0#admin.#single#secondary#no#10,0#no#yes#cellular#18#nov#1.0#173,0#3#failure#no
239#18951#32,0#technician#married#secondary#no#12,0#yes#yes#cellular#4#aug#2.0#-1,0#0#unknown#no
240#3042#47,0#services#married#secondary#no#1549,0#yes#no#unknown#14#may#6.0#-1,0#0#unknown#no
241#25248#36,0#management#married#tertiary#no#549,0#yes#no#cellular#18#nov#2.0#-1,0#0#unknown#no
242#3181#32,0#management#single#tertiary#no#0,0#yes#no#unknown#15#may#4.0#-1,0#0#unknown#no
243#9506#41,0#admin.#divorced#secondary#no#762,0#yes#no#unknown#6#jun#4.0#-1,0#0#unknown#no
244#24715#50,0#technician#married#secondary#no#0,0#yes#no#cellular#17#nov#4.0#168,0#2#failure#no
245#21673#45,0#blue-collar#married#primary#no#0,0#no#no#cellular#19#aug#2.0#-1,0#0#unknown#no
246#7171#26,0#admin.#single#tertiary#no#3672,0#yes#no#unknown#29#may#5.0#-1,0#0#unknown#no
247#6726#26,0#technician#married#secondary#no#876,0#yes#no#unknown#28#may#1.0#-1,0#0#unknown#no
248#22449#32,0#self-employed#married#tertiary#no#3601,0#no#no#cellular#22#aug#15.0#-1,0#0#unknown#no
249#42290#34,0#management#married#tertiary#no#2599,0#no#no#cellular#16#nov#1.0#200,0#2#success#no
250#15028#32,0#management#married#tertiary#no#958,0#yes#no#telephone#17#jul#1.0#-1,0#0#unknown#no
251#8473#36,0#blue-collar#married#secondary#no#16402,0#yes#no#unknown#3#jun#3.0#-1,0#0#unknown#no
