ID§age§job§marital§education§default§balance§housing§loan§contact§day§month§campaign§pdays§previous§poutcome§y
3§§entrepreneur§married§secondary§no§2,0§yes§yes§unknown§5§may§1,0§-1,0§0§unknown§
478§31,0§management§single§secondary§no§301,0§yes§no§unknown§6§may§1,0§-1,0§0§unknown§
483§41,0§technician§married§secondary§no§767,0§yes§yes§unknown§6§may§1,0§-1,0§0§unknown§
487§43,0§blue-collar§divorced§secondary§no§110,0§yes§yes§unknown§6§may§1,0§-1,0§0§unknown§
491§32,0§technician§married§secondary§no§0,0§yes§no§unknown§6§may§2,0§-1,0§0§unknown§
492§29,0§blue-collar§married§secondary§no§1,0§yes§no§unknown§6§may§1,0§-1,0§0§unknown§
494§55,0§unemployed§married§tertiary§no§5345,0§no§no§unknown§6§may§1,0§-1,0§0§unknown§
496§39,0§admin.§single§secondary§no§0,0§yes§no§unknown§6§may§2,0§-1,0§0§unknown§
498§50,0§blue-collar§divorced§secondary§no§41,0§yes§no§unknown§6§may§1,0§-1,0§0§unknown§
499§44,0§blue-collar§married§secondary§no§-99,0§yes§no§unknown§6§may§2,0§-1,0§0§unknown§
503§37,0§management§single§tertiary§no§230,0§yes§yes§unknown§6§may§1,0§-1,0§0§unknown§
514§41,0§blue-collar§married§primary§no§0,0§yes§yes§unknown§6§may§1,0§-1,0§0§unknown§
521§46,0§management§single§unknown§no§1527,0§yes§no§unknown§6§may§1,0§-1,0§0§unknown§
526§43,0§blue-collar§married§secondary§no§1335,0§yes§no§unknown§6§may§2,0§-1,0§0§unknown§
532§31,0§housemaid§married§primary§no§203,0§yes§no§unknown§6§may§3,0§-1,0§0§unknown§
537§48,0§blue-collar§married§secondary§no§157,0§yes§no§unknown§6§may§1,0§-1,0§0§unknown§
544§§admin.§single§secondary§no§0,0§yes§no§unknown§6§may§1,0§-1,0§0§unknown§
552§30,0§admin.§married§secondary§no§46,0§yes§no§unknown§6§may§2,0§-1,0§0§unknown§
553§30,0§student§single§tertiary§no§34,0§yes§no§unknown§6§may§1,0§-1,0§0§unknown§
556§36,0§admin.§married§secondary§no§-106,0§yes§no§unknown§6§may§2,0§-1,0§0§unknown§
558§56,0§admin.§divorced§secondary§no§778,0§yes§no§unknown§6§may§2,0§-1,0§0§unknown§
561§52,0§blue-collar§married§secondary§no§3165,0§no§no§unknown§6§may§1,0§-1,0§0§unknown§
562§36,0§admin.§divorced§secondary§no§131,0§yes§no§unknown§6§may§1,0§-1,0§0§unknown§
565§§services§divorced§secondary§no§0,0§yes§yes§unknown§6§may§1,0§-1,0§0§unknown§
568§46,0§unemployed§married§secondary§no§-125,0§yes§no§unknown§6§may§1,0§-1,0§0§unknown§
585§37,0§technician§married§primary§no§0,0§yes§no§unknown§6§may§4,0§-1,0§0§unknown§
589§30,0§technician§single§secondary§no§0,0§yes§no§unknown§6§may§1,0§-1,0§0§unknown§
590§37,0§blue-collar§married§primary§no§-325,0§yes§yes§unknown§6§may§2,0§-1,0§0§unknown§
597§54,0§services§married§secondary§yes§0,0§yes§no§unknown§6§may§3,0§-1,0§0§unknown§
602§37,0§blue-collar§married§secondary§no§395,0§yes§no§unknown§6§may§2,0§-1,0§0§unknown§
605§51,0§blue-collar§married§secondary§no§50,0§yes§yes§unknown§6§may§1,0§-1,0§0§unknown§
607§49,0§technician§married§unknown§no§15,0§no§no§unknown§6§may§2,0§-1,0§0§unknown§
608§51,0§blue-collar§married§primary§no§653,0§yes§yes§unknown§6§may§1,0§-1,0§0§unknown§
611§29,0§technician§single§tertiary§no§405,0§yes§no§unknown§6§may§1,0§-1,0§0§unknown§
613§55,0§services§married§primary§no§255,0§yes§no§unknown§6§may§1,0§-1,0§0§unknown§
619§40,0§blue-collar§married§primary§no§2880,0§yes§no§unknown§6§may§2,0§-1,0§0§unknown§
620§40,0§technician§single§unknown§no§-5,0§yes§no§unknown§6§may§2,0§-1,0§0§unknown§
622§33,0§technician§divorced§secondary§no§7,0§yes§yes§unknown§6§may§1,0§-1,0§0§unknown§
627§35,0§unemployed§married§secondary§no§533,0§yes§no§unknown§6§may§1,0§-1,0§0§unknown§
631§56,0§admin.§divorced§unknown§no§4246,0§yes§no§unknown§6§may§2,0§-1,0§0§unknown§
641§55,0§management§single§secondary§no§220,0§yes§no§unknown§6§may§2,0§-1,0§0§unknown§
643§37,0§blue-collar§single§secondary§no§240,0§yes§no§unknown§6§may§1,0§-1,0§0§unknown§
645§43,0§unemployed§married§secondary§no§0,0§yes§no§unknown§6§may§2,0§-1,0§0§unknown§
646§38,0§entrepreneur§married§tertiary§no§898,0§yes§no§unknown§6§may§2,0§-1,0§0§unknown§
650§41,0§technician§married§secondary§no§-366,0§yes§yes§unknown§6§may§3,0§-1,0§0§unknown§
655§28,0§technician§single§secondary§no§312,0§yes§no§unknown§6§may§1,0§-1,0§0§unknown§
656§33,0§blue-collar§married§secondary§no§-349,0§yes§no§unknown§6§may§1,0§-1,0§0§unknown§
659§29,0§admin.§married§secondary§no§-150,0§yes§no§unknown§6§may§1,0§-1,0§0§unknown§
661§32,0§admin.§married§tertiary§no§281,0§yes§no§unknown§6§may§1,0§-1,0§0§unknown§
663§33,0§admin.§single§secondary§no§101,0§yes§no§unknown§6§may§1,0§-1,0§0§unknown§
664§§blue-collar§married§secondary§no§848,0§yes§no§unknown§6§may§2,0§-1,0§0§unknown§
666§41,0§blue-collar§married§secondary§no§140,0§yes§no§unknown§6§may§3,0§-1,0§0§unknown§
667§35,0§admin.§single§secondary§no§148,0§yes§no§unknown§6§may§2,0§-1,0§0§unknown§
672§31,0§blue-collar§single§secondary§no§0,0§yes§no§unknown§6§may§2,0§-1,0§0§unknown§
678§35,0§technician§married§secondary§no§-131,0§yes§no§unknown§6§may§2,0§-1,0§0§unknown§
684§49,0§admin.§married§secondary§no§82,0§yes§no§unknown§6§may§1,0§-1,0§0§unknown§
685§42,0§management§married§tertiary§no§0,0§yes§no§unknown§6§may§3,0§-1,0§0§unknown§
686§54,0§services§married§secondary§no§510,0§yes§no§unknown§6§may§2,0§-1,0§0§unknown§
688§53,0§admin.§married§secondary§no§244,0§yes§yes§unknown§6§may§2,0§-1,0§0§unknown§
689§49,0§management§married§tertiary§no§92,0§yes§no§unknown§6§may§2,0§-1,0§0§unknown§
694§39,0§services§married§secondary§no§1205,0§yes§no§unknown§6§may§2,0§-1,0§0§unknown§
695§36,0§technician§married§secondary§no§368,0§yes§yes§unknown§6§may§2,0§-1,0§0§unknown§
701§24,0§services§single§secondary§no§77,0§yes§yes§unknown§6§may§2,0§-1,0§0§unknown§
702§46,0§blue-collar§married§unknown§no§401,0§yes§no§unknown§6§may§2,0§-1,0§0§unknown§
707§§technician§single§unknown§no§78,0§yes§no§unknown§6§may§6,0§-1,0§0§unknown§
715§40,0§admin.§single§unknown§no§419,0§yes§no§unknown§6§may§3,0§-1,0§0§unknown§
718§39,0§blue-collar§married§secondary§no§607,0§yes§no§unknown§6§may§2,0§-1,0§0§unknown§
722§58,0§management§married§tertiary§no§68,0§yes§no§unknown§6§may§5,0§-1,0§0§unknown§
723§52,0§blue-collar§married§primary§no§58,0§yes§no§unknown§6§may§3,0§-1,0§0§unknown§
725§36,0§blue-collar§married§secondary§no§688,0§yes§no§unknown§6§may§2,0§-1,0§0§unknown§
726§60,0§retired§married§primary§no§364,0§yes§no§unknown§6§may§2,0§-1,0§0§unknown§
728§42,0§admin.§married§secondary§no§101,0§yes§no§unknown§6§may§3,0§-1,0§0§unknown§
729§44,0§management§married§tertiary§no§105,0§yes§no§unknown§6§may§2,0§-1,0§0§unknown§
730§51,0§blue-collar§divorced§primary§no§325,0§yes§no§unknown§6§may§2,0§-1,0§0§unknown§
733§37,0§blue-collar§married§secondary§no§183,0§yes§no§unknown§6§may§4,0§-1,0§0§unknown§
735§35,0§services§married§secondary§no§109,0§yes§no§unknown§6§may§3,0§-1,0§0§unknown§
736§35,0§blue-collar§single§secondary§no§376,0§yes§yes§unknown§6§may§3,0§-1,0§0§unknown§
744§§blue-collar§married§unknown§no§807,0§yes§no§unknown§6§may§2,0§-1,0§0§unknown§
747§56,0§self-employed§married§unknown§no§7,0§no§no§unknown§6§may§2,0§-1,0§0§unknown§
752§54,0§blue-collar§married§secondary§no§254,0§yes§no§unknown§6§may§2,0§-1,0§0§unknown§
756§38,0§housemaid§married§secondary§no§0,0§yes§no§unknown§6§may§3,0§-1,0§0§unknown§
759§59,0§services§married§secondary§no§307,0§yes§yes§unknown§6§may§7,0§-1,0§0§unknown§
766§51,0§blue-collar§divorced§secondary§no§421,0§yes§no§unknown§6§may§2,0§-1,0§0§unknown§
770§39,0§blue-collar§married§primary§no§245,0§yes§no§unknown§7§may§3,0§-1,0§0§unknown§
775§§technician§single§tertiary§no§92,0§yes§no§unknown§7§may§3,0§-1,0§0§unknown§
780§42,0§admin.§married§secondary§no§445,0§yes§no§unknown§7§may§2,0§-1,0§0§unknown§
784§§technician§single§secondary§no§42,0§yes§no§unknown§7§may§2,0§-1,0§0§unknown§
785§57,0§technician§married§unknown§no§1617,0§yes§no§unknown§7§may§2,0§-1,0§0§unknown§
794§31,0§blue-collar§single§secondary§no§53,0§yes§no§unknown§7§may§1,0§-1,0§0§unknown§
799§30,0§blue-collar§divorced§secondary§no§251,0§yes§yes§unknown§7§may§2,0§-1,0§0§unknown§
806§35,0§blue-collar§married§primary§yes§0,0§yes§no§unknown§7§may§1,0§-1,0§0§unknown§
811§36,0§blue-collar§married§secondary§no§-251,0§yes§no§unknown§7§may§1,0§-1,0§0§unknown§
813§47,0§blue-collar§married§unknown§no§733,0§yes§no§unknown§7§may§1,0§-1,0§0§unknown§
814§§technician§single§tertiary§no§0,0§yes§no§unknown§7§may§2,0§-1,0§0§unknown§
817§31,0§blue-collar§single§primary§no§435,0§yes§no§unknown§7§may§2,0§-1,0§0§unknown§
825§34,0§services§married§secondary§no§302,0§yes§no§unknown§7§may§1,0§-1,0§0§unknown§
830§34,0§management§single§tertiary§no§872,0§yes§no§unknown§7§may§2,0§-1,0§0§unknown§
836§§technician§divorced§secondary§no§-329,0§yes§no§unknown§7§may§1,0§-1,0§0§unknown§
837§30,0§services§single§secondary§no§-174,0§yes§no§unknown§7§may§1,0§-1,0§0§unknown§
841§49,0§blue-collar§married§secondary§no§64,0§yes§no§unknown§7§may§3,0§-1,0§0§unknown§
846§§blue-collar§married§primary§no§716,0§yes§no§unknown§7§may§3,0§-1,0§0§unknown§
849§§blue-collar§married§secondary§no§-203,0§yes§no§unknown§7§may§1,0§-1,0§0§unknown§
852§29,0§technician§single§tertiary§no§3,0§yes§no§unknown§7§may§1,0§-1,0§0§unknown§
863§37,0§services§married§primary§no§52,0§yes§no§unknown§7§may§1,0§-1,0§0§unknown§
865§37,0§blue-collar§married§primary§no§693,0§yes§no§unknown§7§may§3,0§-1,0§0§unknown§
867§49,0§blue-collar§married§primary§no§3659,0§yes§no§unknown§7§may§1,0§-1,0§0§unknown§
870§52,0§self-employed§married§secondary§no§273,0§no§no§unknown§7§may§1,0§-1,0§0§unknown§
871§33,0§services§divorced§secondary§no§327,0§yes§no§unknown§7§may§1,0§-1,0§0§unknown§
873§32,0§blue-collar§married§secondary§no§0,0§yes§no§unknown§7§may§1,0§-1,0§0§unknown§
878§45,0§blue-collar§married§secondary§no§154,0§yes§no§unknown§7§may§1,0§-1,0§0§unknown§
880§§admin.§married§secondary§no§8,0§yes§no§unknown§7§may§1,0§-1,0§0§unknown§
882§38,0§blue-collar§married§secondary§no§266,0§yes§no§unknown§7§may§1,0§-1,0§0§unknown§
892§53,0§services§divorced§primary§no§-291,0§yes§yes§unknown§7§may§1,0§-1,0§0§unknown§
895§29,0§entrepreneur§married§primary§no§56,0§yes§yes§unknown§7§may§1,0§-1,0§0§unknown§
896§59,0§blue-collar§married§primary§no§229,0§yes§yes§unknown§7§may§1,0§-1,0§0§unknown§
897§44,0§blue-collar§married§primary§no§143,0§yes§no§unknown§7§may§1,0§-1,0§0§unknown§
906§35,0§management§married§tertiary§no§267,0§yes§no§unknown§7§may§1,0§-1,0§0§unknown§
910§43,0§self-employed§married§primary§no§66,0§yes§no§unknown§7§may§5,0§-1,0§0§unknown§
911§§blue-collar§married§unknown§no§37,0§yes§no§unknown§7§may§6,0§-1,0§0§unknown§
915§57,0§self-employed§married§primary§no§1013,0§yes§no§unknown§7§may§1,0§-1,0§0§unknown§
919§38,0§blue-collar§married§unknown§no§5,0§yes§no§unknown§7§may§2,0§-1,0§0§unknown§
924§30,0§services§single§tertiary§no§542,0§yes§no§unknown§7§may§2,0§-1,0§0§unknown§
925§32,0§blue-collar§married§secondary§no§-205,0§yes§no§unknown§7§may§1,0§-1,0§0§unknown§
928§55,0§blue-collar§married§secondary§no§1268,0§yes§no§unknown§7§may§2,0§-1,0§0§unknown§
931§55,0§retired§married§primary§no§-90,0§yes§yes§unknown§7§may§2,0§-1,0§0§unknown§
938§52,0§admin.§married§secondary§no§31,0§yes§no§unknown§7§may§1,0§-1,0§0§unknown§
940§§services§married§secondary§no§0,0§yes§no§unknown§7§may§2,0§-1,0§0§unknown§
944§53,0§blue-collar§single§secondary§no§156,0§yes§yes§unknown§7§may§4,0§-1,0§0§unknown§
947§35,0§services§married§secondary§no§528,0§no§no§unknown§7§may§2,0§-1,0§0§unknown§
948§46,0§entrepreneur§married§unknown§no§1481,0§yes§no§unknown§7§may§3,0§-1,0§0§unknown§
949§31,0§management§married§secondary§no§2019,0§no§no§unknown§7§may§2,0§-1,0§0§unknown§
951§29,0§management§married§secondary§no§147,0§yes§yes§unknown§7§may§2,0§-1,0§0§unknown§
959§38,0§services§married§secondary§no§-32,0§yes§no§unknown§7§may§2,0§-1,0§0§unknown§
980§52,0§admin.§married§primary§no§270,0§yes§no§unknown§7§may§2,0§-1,0§0§unknown§
982§30,0§technician§single§secondary§no§102,0§yes§no§unknown§7§may§2,0§-1,0§0§unknown§
991§§unemployed§divorced§primary§no§849,0§yes§no§unknown§7§may§1,0§-1,0§0§unknown§
992§§management§married§tertiary§no§436,0§yes§no§unknown§7§may§1,0§-1,0§0§unknown§
993§38,0§blue-collar§single§secondary§no§-1,0§yes§no§unknown§7§may§1,0§-1,0§0§unknown§
1000§§technician§single§secondary§no§56,0§no§no§unknown§7§may§2,0§-1,0§0§unknown§
1003§30,0§blue-collar§single§primary§no§660,0§yes§no§unknown§7§may§2,0§-1,0§0§unknown§
1004§44,0§services§married§primary§no§-79,0§yes§no§unknown§7§may§2,0§-1,0§0§unknown§
1009§34,0§blue-collar§married§primary§no§267,0§yes§no§unknown§7§may§1,0§-1,0§0§unknown§
